timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
26.871,-0.047424,0.046929,-0.084192,0.011937,idle,0,0.01899999999999835
26.892,0.057229,-0.089724,-0.048246,-0.008395,idle,0,0.021000000000000796
26.911,0.111305,0.062146,0.182715,0.005713,idle,0,0.019000000000001904
26.931,0.150512,0.002976,0.038584,0.005166,idle,0,0.019999999999999574
26.951,-0.049042,0.018932,-0.050776,0.007919,idle,0,0.019999999999999574
26.971,0.098217,-0.01181,-0.040096,0.003973,idle,0,0.019999999999999574
26.991,0.109338,0.062971,0.173411,0.015773,idle,0,0.019999999999999574
27.011,0.148039,-0.022732,0.083549,0.008072,idle,0,0.019999999999999574
27.031,0.028756,-0.112861,-0.112985,-0.016115,idle,0,0.019999999999999574
27.05,0.149425,-0.009818,-0.086751,-0.014856,idle,0,0.019000000000001904
27.07,0.120358,0.123381,0.23157,0.012792,idle,0,0.019999999999999574
27.09,0.055493,0.056643,0.145128,0.021562,idle,0,0.019999999999999574
27.11,-0.012701,-0.047014,-0.191099,0.007847,idle,0,0.019999999999999574
27.13,0.188047,-0.133442,-0.127119,-0.020411,idle,0,0.019999999999999574
27.15,0.1523,0.040628,-0.000139,-0.008203,idle,0,0.019999999999999574
27.17,-0.045788,0.143048,0.15493,0.022047,idle,0,0.020000000000003126
27.19,-0.152846,-0.023555,-0.021399,0.012927,idle,0,0.019999999999999574
27.209,0.182073,0.07631,0.042718,0.025603,idle,0,0.01899999999999835
27.229,0.245994,0.070894,0.052683,0.034661,idle,0,0.019999999999999574
27.249,-0.163899,0.023717,-0.022111,0.032473,idle,0,0.019999999999999574
27.269,-0.069743,-0.212275,-0.203102,-0.016477,idle,0,0.019999999999999574
27.289,0.175576,0.013617,-0.122201,-0.010458,idle,0,0.020000000000003126
27.309,-0.000904,0.077422,0.090169,0.007118,idle,0,0.019999999999999574
27.329,0.030025,0.084165,0.002157,0.022527,idle,0,0.019999999999999574
27.349,0.021587,-0.129443,0.113717,-0.007867,idle,0,0.019999999999999574
27.368,-0.000937,0.183839,0.052281,0.030474,idle,0,0.01899999999999835
27.388,-0.043163,0.143754,0.04714,0.05313,idle,0,0.020000000000003126
27.408,-0.144078,-0.161306,-0.093821,0.010243,idle,0,0.019999999999999574
27.43,-0.009423,-0.238996,-0.270417,-0.039605,idle,0,0.021999999999998465
27.448,0.069631,-0.01724,-0.128877,-0.035132,idle,0,0.018000000000000682
27.468,-0.060234,0.220282,0.086971,0.015951,idle,0,0.019999999999999574
27.488,-0.085328,0.055579,0.162817,0.023876,idle,0,0.019999999999999574
27.507,-0.086694,-0.076418,-0.031922,0.003818,idle,0,0.019000000000001904
27.527,0.105744,-0.035724,-0.088029,-0.004091,idle,0,0.019999999999999574
27.547,0.005982,0.029692,-0.102978,0.002666,idle,0,0.019999999999999574
27.567,-0.187795,-0.174152,-0.093965,-0.032698,idle,0,0.019999999999999574
27.587,-0.032373,-0.104427,-0.103534,-0.047044,idle,0,0.019999999999999574
27.607,0.023446,0.166519,0.047157,-0.004331,idle,0,0.019999999999999574
27.627,-0.059508,0.125727,0.068108,0.02168,idle,0,0.019999999999999574
27.647,-0.081197,-0.045826,0.010065,0.008179,idle,0,0.019999999999999574
