timestamp,accX,accY,accZ,filteredAccY,phase,repCount
21.350,0.012392,0.136014,-0.110137,0.077516,bottom,0
21.370,-0.083597,0.064832,0.043031,0.074980,bottom,0
21.390,-0.129993,-0.021439,0.081214,0.055696,bottom,0
21.410,-0.113440,-0.136033,0.124759,0.017350,bottom,0
21.430,-0.077989,0.001243,0.107433,0.014129,bottom,0
21.449,-0.085845,0.030730,0.083296,0.017449,bottom,0
21.470,-0.061608,-0.054528,0.188656,0.003054,bottom,0
21.489,0.041082,-0.156212,0.320580,-0.028800,bottom,0
21.509,0.229187,-0.494528,0.247402,-0.121945,bottom,0
21.529,0.450698,-0.155111,-0.224131,-0.128579,bottom,0
21.549,0.135139,0.058882,-0.285020,-0.091086,bottom,0
21.569,-0.087043,-0.088412,-0.000777,-0.090551,bottom,0
21.589,-0.151045,0.128604,0.131451,-0.046720,bottom,0
21.609,-0.141404,0.134921,0.249455,-0.010392,bottom,0
21.628,-0.119229,-0.022013,0.247636,-0.012716,bottom,0
21.648,0.192380,-0.140943,0.096398,-0.038362,bottom,0
21.668,0.264657,0.013184,0.050031,-0.028053,bottom,0
21.688,0.176983,0.067076,0.027710,-0.009027,bottom,0
21.708,0.437243,0.268821,-0.579505,0.046543,bottom,0
21.728,0.254655,-0.058681,-0.350565,0.025498,bottom,0
21.748,0.013216,-0.099556,-0.111891,0.000487,bottom,0
21.767,-0.102217,0.094982,0.065220,0.019386,bottom,0
21.787,-0.158311,0.061835,0.147252,0.027876,bottom,0
21.808,-0.062987,0.123792,-0.092501,0.047059,bottom,0
21.827,0.094286,0.073370,-0.259340,0.052321,bottom,0
21.847,0.061068,-0.030096,-0.087887,0.035838,bottom,0
21.867,-0.050661,0.131185,0.050355,0.054907,bottom,0
21.887,-0.076753,-0.347758,0.062674,-0.025626,bottom,0
21.907,-0.130516,0.294905,-0.172720,0.038480,bottom,0
21.927,-0.152492,0.068053,-0.137519,0.044395,bottom,0
21.946,0.221131,0.093428,0.194206,0.054201,bottom,0
21.966,0.023284,-0.224088,0.365493,-0.001457,bottom,0
21.986,-0.019839,-0.080545,0.378798,-0.017274,bottom,0
22.006,0.024824,-0.071917,0.381434,-0.028203,bottom,0
22.026,0.141529,0.085708,0.053152,-0.005421,bottom,0
22.046,-0.030679,-0.019342,0.110603,-0.008205,bottom,0
22.066,0.015058,-0.054472,0.029448,-0.017458,bottom,0
22.086,0.111403,0.158950,-0.043459,0.017823,bottom,0
22.106,-0.010185,-0.014820,-0.121432,0.011295,bottom,0
22.125,-0.048981,0.030002,-0.074282,0.015036,bottom,0
22.145,-0.048987,-0.024918,-0.073171,0.007045,bottom,0
22.165,-0.034717,-0.007615,-0.208634,0.004113,bottom,0
22.185,0.052982,0.099001,-0.086973,0.023091,bottom,0
22.205,-0.021890,0.020131,0.034456,0.022499,bottom,0
22.225,-0.059494,0.007021,-0.025828,0.019403,bottom,0
22.244,0.139160,0.066065,-0.145817,0.028735,bottom,0
22.264,-0.030332,-0.039897,-0.088484,0.015009,bottom,0
22.284,-0.208015,-0.132846,0.133138,-0.014562,bottom,0
22.304,-0.069062,0.015389,-0.007941,-0.008572,bottom,0
22.324,0.113007,-0.172447,-0.138833,-0.041347,bottom,0
22.344,-0.184509,-0.099829,0.069708,-0.053043,bottom,0
22.364,-0.065633,0.082804,0.093119,-0.025874,bottom,0
22.384,-0.023989,0.034493,0.064673,-0.013801,bottom,0
22.404,-0.009700,0.029194,0.073008,-0.005202,bottom,0
22.424,0.136076,-0.023607,-0.018384,-0.008883,bottom,0
22.443,-0.027855,0.068506,-0.019579,0.006595,bottom,0
22.463,-0.136582,0.095448,-0.099571,0.024366,bottom,0
22.483,-0.030046,-0.072990,-0.124974,0.004894,bottom,0
22.503,-0.014747,-0.110784,-0.074546,-0.018241,bottom,0
22.523,-0.029636,0.109121,-0.110770,0.007231,bottom,0
22.543,-0.015199,-0.004260,0.070941,0.004933,bottom,0
22.562,0.069475,-0.134898,0.178007,-0.023033,bottom,0
22.582,0.186605,-0.030198,0.153774,-0.024466,bottom,0
22.602,0.052292,0.098359,0.104994,0.000099,bottom,0
22.622,-0.113407,-0.081761,0.106490,-0.016273,bottom,0
22.642,-0.115711,-0.267363,0.018219,-0.066491,bottom,0
22.662,-0.079267,0.039775,0.279972,-0.045238,bottom,0
22.681,-0.091254,0.064566,0.253803,-0.023277,bottom,0
22.701,-0.009113,-0.234212,-0.105072,-0.065464,bottom,0
22.721,0.504967,0.406086,-0.753970,0.028846,bottom,0
22.741,-0.086990,0.111423,-0.020689,0.045361,bottom,0
22.761,-0.004028,-0.186088,0.009697,-0.000928,bottom,0
22.781,-0.029374,-0.094794,-0.109225,-0.019701,bottom,0
22.801,-0.037548,0.264581,-0.294338,0.037155,bottom,0
22.821,-0.097153,-0.008376,-0.175787,0.028049,bottom,0
22.841,-0.068780,0.020617,0.011560,0.026563,bottom,0
22.861,-0.062280,0.110386,0.103629,0.043327,bottom,0
