timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
159.576,-0.151396,0.089825,-0.040137,0.005647,idle,5,0.01999999999998181,0.10522196923170749
159.596,-0.200433,0.094785,-0.090205,0.023475,idle,5,0.020000000000010232,0.10521999248488667
159.616,-0.167741,0.109195,-0.001997,0.040619,idle,5,0.020000000000010232,0.10520000446111828
159.635,-0.20235,0.010472,0.072405,0.03459,idle,5,0.018999999999977035,0.10514886604824769
159.655,-0.170702,0.050251,0.041452,0.037722,idle,5,0.020000000000010232,0.10513790843318388
159.675,-0.10649,0.190846,-0.058535,0.068347,idle,5,0.020000000000010232,0.10522068264569794
159.697,-0.035208,0.137247,-0.043216,0.082127,idle,5,0.02199999999999136,0.10534626114034666
159.715,-0.076897,0.100241,-0.019661,0.085749,idle,5,0.018000000000000682,0.10542905700731478
159.735,-0.104304,0.043566,0.047421,0.077313,idle,5,0.020000000000010232,0.105287653928477
159.755,0.072735,0.18901,-0.06136,0.099652,idle,5,0.01999999999998181,0.10514397598105879
159.775,0.267856,-0.60234,-0.042362,-0.040746,idle,5,0.020000000000010232,0.10495346798098078
159.796,-0.173168,0.06485,0.004023,-0.019627,idle,5,0.020999999999986585,0.10430528846794017
159.814,-0.301289,0.014489,0.094165,-0.012804,idle,5,0.018000000000000682,0.10334276312180553
159.834,-0.093999,0.271428,0.209333,0.044043,idle,5,0.020000000000010232,0.10221585265607283
159.854,-0.139244,0.355294,0.114061,0.106293,idle,5,0.020000000000010232,0.1013146591331191
159.874,-0.091179,0.067777,0.020283,0.09859,idle,5,0.01999999999998181,0.10040100518456335
159.894,-0.053821,0.051449,-0.129186,0.089162,idle,5,0.020000000000010232,0.09961086246067345
159.914,-0.031328,0.109807,-0.272732,0.093291,idle,5,0.01999999999998181,0.09890428064021901
159.933,-0.02635,0.044842,-0.157048,0.083601,idle,5,0.019000000000005457,0.09818438671153532
159.953,-0.054052,-0.018621,0.11911,0.063157,idle,5,0.020000000000010232,0.09754034431700509
159.973,0.031489,0.081859,0.389646,0.066897,idle,5,0.020000000000010232,0.09719185116509557
159.993,0.372407,0.088825,0.157952,0.071283,idle,5,0.01999999999998181,0.09714875128402248
160.013,0.563897,0.135044,-0.084625,0.084035,idle,5,0.020000000000010232,0.09723502934115286
160.033,0.555224,0.167367,-0.000418,0.100701,idle,5,0.01999999999998181,0.09740059730992832
160.053,0.539462,-0.16587,0.108781,0.047387,idle,5,0.020000000000010232,0.097388263840704
160.072,0.535552,-0.306424,0.075448,-0.023375,idle,5,0.019000000000005457,0.0968828960081769
160.092,0.488143,-0.261148,-0.134397,-0.07093,idle,5,0.020000000000010232,0.09431814798332265
160.112,0.368515,-0.209646,-0.214567,-0.098673,idle,5,0.01999999999998181,0.09003590078813965
160.132,0.289253,-0.247561,-0.016279,-0.12845,idle,5,0.020000000000010232,0.08754747159597756
160.152,0.196394,-0.153292,0.282676,-0.133419,idle,5,0.01999999999998181,0.08508618626822051
160.172,0.127013,-0.0824,0.208741,-0.123215,idle,5,0.020000000000010232,0.08127872745302951
160.192,0.073448,0.024123,0.138453,-0.093747,idle,5,0.020000000000010232,0.07795427621796436
160.212,-0.01237,-0.009173,0.033505,-0.076832,idle,5,0.01999999999998181,0.07540487843857974
